Comune;Dens;latitudine;longitudine
Abbiategrasso;682;45.3930345;8.9198249
Albairate;314;45.4196049;8.9355884
Arconate;796;45.5395459;8.84794
Arese;2933;45.55017;9.0783808
Arluno;964;45.5052228;8.9388696
Assago;1119;45.4049213;9.1304128
Baranzate;4297;45.5273901;9.1170112
Bareggio;1525;45.4759528;8.9949011
Basiano;801;45.5716142;9.4673821
Basiglio;924;45.349189;9.1644466
Bellinzago Lombardo;845;45.543745;9.443966
Bernate Ticino;253;45.478195;8.8182951
Besate;162;45.3119994;8.9688417
Binasco;1873;45.3363169;9.1017322
Boffalora sopra Ticino;537;45.468313;8.8311775
Bollate;2779;45.5433435;9.1152557
Bresso;7771;45.5371073;9.1913763
Bubbiano;814;45.326923;9.0155887
Buccinasco;2270;45.4221054;9.1086138
Buscate;608;45.5446925;8.8134286
Bussero;1855;45.5383105;9.3727514
Busto Garolfo;1066;45.5455812;8.8834443
Calvignasco;700;45.3256456;9.0268891
Cambiago;962;45.5717426;9.4213305
Canegrate;2384;45.5700881;8.9288762
Carpiano;239;45.3414279;9.2713376
Carugate;2835;45.5505834;9.339651
Casarile;557;45.3170638;9.1060171
Casorezzo;829;45.5237967;8.9013751
Cassano d'Adda;1017;45.5260596;9.5167713
Cassina de' Pecchi;1909;45.519764;9.3655309
Cassinetta di Lugagnano;576;45.4258027;8.9097805
Castano Primo;587;45.5530952;8.7827559
Cernusco sul Naviglio;2562;45.5266377;9.3323686
Cerro al Lambro;514;45.3310158;9.3416298
Cerro Maggiore;1504;45.593142;8.9514694
Cesano Boscone;6031;45.4423591;9.0985941
Cesate;2475;45.5953177;9.0778471
Cinisello Balsamo;5946;45.5540211;9.2242535
Cisliano;332;45.4441423;8.9908376
Cologno Monzese;5683;45.5297405;9.2783441
Colturano;499;45.380201;9.3361251
Corbetta;983;45.4660501;8.9201705
Cormano;4487;45.5418971;9.1683782
Cornaredo;1852;45.501538;9.023957
Corsico;6513;45.4292861;9.1098658
Cuggiono;554;45.5062454;8.8167309
Cusago;342;45.4472564;9.0341234
Cusano Milanino;6090;45.5506966;9.1814131
Dairago;1128;45.5657951;8.862543
Dresano;873;45.3749966;9.3573174
Gaggiano;348;45.4062609;9.0335031
Garbagnate Milanese;3027;45.5758071;9.0780879
Gessate;1147;45.5557712;9.4349877
Gorgonzola;1929;45.530705;9.4057
Grezzago;1236;45.590675;9.494187
Gudo Visconti;272;45.3738405;9.0015933
Inveruno;709;45.5156845;8.8537538
Inzago;897;45.5375957;9.4790234
Lacchiarella;373;45.3179246;9.1391371
Lainate;1991;45.5705109;9.0288777
Legnano;3409;45.5930977;8.907247
Liscate;434;45.4814959;9.4091977
Locate di Triulzi;810;45.357897;9.2252147
Magenta;1084;45.4682315;8.8809736
Magnago;824;45.5792541;8.8024696
Marcallo con Casone;762;45.4852353;8.8703596
Masate;793;45.566624;9.467436
Mediglia;556;45.3955182;9.3326696
Melegnano;3589;45.3568623;9.3229681
Melzo;1886;45.497765;9.418398
Mesero;737;45.5010636;8.8577696
MILANO;7440;45.4636707;9.1881263
Morimondo;44;45.3543306;8.9580281
Motta Visconti;749;45.2872359;8.992686
Nerviano;1303;45.5556175;8.9756581
Nosate;140;45.5523876;8.7253673
Novate Milanese;3671;45.5317635;9.1407814
Noviglio;289;45.3582871;9.0533731
Opera;1804;45.3756867;9.2109729
Ossona;717;45.5066945;8.9014423
Ozzero;136;45.3655997;8.9238805
Paderno Dugnano;3301;45.5674265;9.1595489
Pantigliate;1074;45.433363;9.352025
Parabiago;1941;45.5567941;8.9462412
Paullo;1299;45.4180065;9.4002298
Pero;2249;45.5089861;9.0866393
Peschiera Borromeo;1013;45.4320247;9.3122956
Pessano con Bornago;1362;45.5515071;9.3869709
Pieve Emanuele;1248;45.3559164;9.2026714
Pioltello;2829;45.504018;9.331134
Pogliano Milanese;1751;45.5364752;8.9894372
Pozzo d'Adda;1457;45.5759162;9.5010574
Pozzuolo Martesana;698;45.5134753;9.452689
Pregnana Milanese;1440;45.5152098;9.0090962
Rescaldina;1760;45.6157617;8.9500826
Rho;2282;45.5297831;9.0381249
Robecchetto con Induno;351;45.5327022;8.7648327
Robecco sul Naviglio;342;45.4359264;8.8874196
Rodano;356;45.4772328;9.3520401
Rosate;308;45.3533933;9.0234749
Rozzano;3464;45.387462;9.1514005
San Colombano al Lambro;443;45.1821072;9.4936171
San Donato Milanese;2517;45.4149275;9.2645213
San Giorgio su Legnano;3134;45.5748593;8.9148345
San Giuliano Milanese;1241;45.398319;9.285199
San Vittore Olona;2416;45.5867859;8.9418352
San Zenone al Lambro;623;45.3247209;9.3595215
Santo Stefano Ticino;998;45.4887308;8.9190971
Sedriano;1561;45.487445;8.9695876
Segrate;2015;45.5011454;9.2916939
Senago;2503;45.575416;9.1176409
Sesto San Giovanni;6994;45.5358577;9.2388895
Settala;425;45.4523978;9.3956083
Settimo Milanese;1872;45.4793256;9.0549089
Solaro;2130;45.6174047;9.0814698
Trezzano Rosa;1504;45.5837679;9.4877891
Trezzano sul Naviglio;1945;45.4183379;9.0707319
Trezzo sull'Adda;927;45.6070272;9.5213143
Tribiano;507;45.4124809;9.3796201
Truccazzano;270;45.4850925;9.4658394
Turbigo;855;45.530213;8.7398075
Vanzaghello;965;45.5800178;8.7797688
Vanzago;1516;45.526487;8.9966834
Vaprio d'Adda;1254;45.575955;9.5321501
Vermezzo;623;45.3948133;8.9807694
Vernate;230;45.3163479;9.0604222
Vignate;1088;45.495001;9.3746569
Villa Cortese;1750;45.5669587;8.8865638
Vimodrone;3586;45.5134926;9.2852229
Vittuone;1478;45.485081;8.9586469
Vizzolo Predabissi;699;45.3557507;9.347454
Zelo Surrigone;416;45.3878548;8.9853044
Zibido San Giacomo;279;45.360181;9.1068999
