;Sensore;Latitudine;Longitudine;coordinate
0;Trezzo_d_Adda;45.607027200000005;9.5213143;[45.607027200000005, 9.5213143]
1;Milano_Verziere;45.4629977;9.1959769;[45.4629977, 9.1959769]
2;Milano_via_Senato;45.471406200000004;9.196530300000001;[45.471406200000004, 9.196530300000001]
3;Turbigo;45.530213;8.7398075;[45.530213, 8.7398075]
4;Robecchetto;45.5327022;8.7648327;[45.5327022, 8.7648327]
5;Limito;45.504018;9.331134;[45.504018, 9.331134]
6;Arese;45.55017;9.0783808;[45.55017, 9.0783808]
7;Magenta;45.4682315;8.880973599999999;[45.4682315, 8.880973599999999]
8;Milano_Pascal;45.4785526;9.2348894;[45.4785526, 9.2348894]
9;Vigevano;45.3154921;8.835470599999999;[45.3154921, 8.835470599999999]
10;Cassano_d_Adda;45.5260596;9.5167713;[45.5260596, 9.5167713]
